//, Screen Size 640, 480, Bottom corner 565 405, Middle 283 203
//,Intro
left,25,25,1,.9
both,100,100,5,1
right,175,175,9,1
both,250,250,13,1
left,400,50,16,1
left,350,50,17,.5
left,300,50,18,.5
left,250,50,19,.5
both,300,205,20,1
both,300,205,22,1
right,100,400,24,1
right,150,400,25,.5
right,200,400,26,.5
right,250,400,27,.5
both,300,205,28,1
both,300,205,30,1
//, Bass comes in
left,383,400,31.75,.75
left,383,400,33.25,.75
right,383,10,33.75,.5
right,183,10,35.75,.75
right,183,10,37.25,.75
left,183,400,37.75,.5
both,283,203,39,1
right,383,10,39.75,.75
right,383,10,41.25,.75
left,383,400,41.75,.5
left,183,400,43.75,.75
left,183,400,45.25,.75
right,183,10,45.75,.5
both,283,203,47,1
//,Piano enters
both,50,203,48,.65
left,10,10,50.75,.5
left,100,100,51.25,.5
left,200,200,51.75,.5
both,500,203,52,.65
right,550,10,54.75,.5
right,450,100,55.25,.5
right,350,200,55.75,.5
both,50,203,56,.65
left,10,400,58.75,.5
left,100,300,59.25,.5
left,200,200,59.75,.5
both,500,203,60,.65
right,550,400,62.75,.5
right,450,300,63.25,.5
right,350,200,63.75,.5
both,50,203,64,.65
left,10,10,66.75,.5
left,100,100,67.25,.5
left,200,200,67.75,.5
both,500,203,68,.65
right,550,10,70.75,.5
right,450,100,71.25,.5
right,350,200,71.75,.5
both,50,203,72,.65
left,10,400,74.75,.5
left,100,300,75.25,.5
left,200,200,75.75,.5
both,500,203,76,.65
right,550,400,78.75,.5
right,450,300,79.25,.5
right,350,200,79.75,.5
//, Drum break
left,10,203,80,.65
right,60,203,80.25,.5
left,110,203,81,.65
right,160,203,81.25,.5
left,210,203,81.75,.65
right,260,203,82.25,.5
left,310,203,83,.65
both,360,203,83.25,.35
both,390,203,83.5,.35
left,410,203,83.75,.35
right,460,203,84.25,.5
left,510,203,85,.65
right,560,203,85.75,.5
left,510,203,86.25,.65
right,460,203,86.75,.5
left,410,203,87,.5
both,360,203,87.5,.5
//, Piano Break
left,10,10,87.75,.75
right,560,10,88.75,.75
both,560,400,89.75,.75
right,10,400,90.75,.75
left,10,10,91.75,.75
both,560,10,92.75,.75
left,560,400,93.75,.75
right,10,400,94.75,.75
both,560,400,95.75,.75
right,560,10,96.75,.75
left,10,10,97.75,.75
both,10,400,98.75,.75
left,560,400,99.75,.75
right,560,10,100.75,.75
both,10,10,101.57,.75
right,10,460,102.75.75
//,Increase drums
left,10,10,103.75,.75
both,283,10,104.25,.75
left,560,10,104.75,.75
right,560,203,105.25,.75
both,560,400,105.75,.75
right,283,400,106.25,.75
left,10,400,106.75,.75
both,10,203,107.25,.75
left,10,10,107.75,.75
right,283,10,108.25,.75
both,560,10,108.75,.75
right,560,203,109.25,.75
left,560,400,109.75,.75
both,283,400,110.25,.75
left,10,400,110.75,.75
right,10,203,111.25,.75
//, reverse
both,10,400,111.75,.75
right,283,400,112.25,.75
left,560,400,112.75,.75
both,560,203,113.25,.75
left,560,10,113.75,.75
right,283,10,114.25,.75
both,10,10,114.75,.75
right,10,203,115.25,.75
left,10,400,115.75,.75
both,283,400,116.25,.75
left,560,400,116.75,.75
right,560,203,117.25,.75
both,560,10,117.75,.75
right,283,10,118.25,.75
left,10,10,118.75,.75
both,10,203,119.25,.75
//,Pre Chorus


